step,action,feature,features_list,avg_score,LightGBM,CatBoost
1,add,total_clicks_por_dia,['total_clicks_por_dia'],0.1220675998202154,0.1217773253698043,0.1223578742706264
2,add,total_fichas_consultadas,"['total_clicks_por_dia', 'total_fichas_consultadas']",0.2421585379184907,0.2310607750265352,0.2532563008104463
3,add,total_clicks,"['total_clicks_por_dia', 'total_fichas_consultadas', 'total_clicks']",0.3469338354503506,0.3343102276302986,0.3595574432704025
4,add,usuarios_que_consultan_misma_primera_ficha,"['total_clicks_por_dia', 'total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha']",0.3756501261533851,0.35532980951453,0.3959704427922402
5,add,engagement_por_email,"['total_clicks_por_dia', 'total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'engagement_por_email']",0.40443253926668293,0.3867430147766731,0.42212206375669276
6,add,canal,"['total_clicks_por_dia', 'total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'engagement_por_email', 'canal']",0.41612836637116846,0.39599842346964315,0.43625830927269377
7,add,tipo_usuario,"['total_clicks_por_dia', 'total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'engagement_por_email', 'canal', 'tipo_usuario']",0.42932505618106453,0.40711505116814983,0.4515350611939793
8,add,clicks_por_sesion,"['total_clicks_por_dia', 'total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'engagement_por_email', 'canal', 'tipo_usuario', 'clicks_por_sesion']",0.4308510481071798,0.4062389592319903,0.4554631369823692
8,remove,total_clicks_por_dia,"['total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'engagement_por_email', 'canal', 'tipo_usuario', 'clicks_por_sesion']",0.43139172414322846,0.4117936964979308,0.4509897517885261
9,add,num_dias_sesiones,"['total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'engagement_por_email', 'canal', 'tipo_usuario', 'clicks_por_sesion', 'num_dias_sesiones']",0.4344739736433647,0.4149876055886912,0.4539603416980383
10,add,peer_signal_unica,"['total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'engagement_por_email', 'canal', 'tipo_usuario', 'clicks_por_sesion', 'num_dias_sesiones', 'peer_signal_unica']",0.4350934516552295,0.4161112929439868,0.4540756103664722
11,add,bondad_email,"['total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'engagement_por_email', 'canal', 'tipo_usuario', 'clicks_por_sesion', 'num_dias_sesiones', 'peer_signal_unica', 'bondad_email']",0.4352334942617278,0.4164520477101105,0.4540149408133451
11,remove,engagement_por_email,"['total_fichas_consultadas', 'total_clicks', 'usuarios_que_consultan_misma_primera_ficha', 'canal', 'tipo_usuario', 'clicks_por_sesion', 'num_dias_sesiones', 'peer_signal_unica', 'bondad_email']",0.43544490789302115,0.41542134951366255,0.4554684662723798
