Model,Sampler,PR_AUC,ROC_AUC,F1_Score,Recall,Lift_Top10,Gain_Top10,Time_Sec
CatBoost,Passthrough,0.4393346053959594,0.9095708338297627,0.4358435002103492,0.29003359462486,7.267968202291005,0.7267637178051511,37.14179968833923
RusBoost,Under_NearMiss,0.4381634607809133,0.6521118846197709,0.029981892690365004,0.8807390817469205,1.601416722538696,0.1601343784994401,5.001796245574951
CatBoost,Under_TomekLinks,0.43658063453927365,0.9094616209947205,0.4347461183382291,0.29003359462486,7.267968202291005,0.7267637178051511,144.4198911190033
LightGBM,Over_ROS,0.42153440415550764,0.9109620869973937,0.3957358294331773,0.42609182530795076,7.346359230667025,0.734602463605823,2.3841288089752197
BalancedRandomForest,Under_NearMiss,0.4213183366672912,0.6575974621619753,0.02191586677832893,0.9524076147816349,1.7190032651027258,0.17189249720044794,2.411332845687866
RandomForest,Under_NearMiss,0.418150208611468,0.6518773213745626,0.02172591720873692,0.9406494960806271,1.6910064692541475,0.1690929451287794,2.5572545528411865
XGBoost,Passthrough,0.4160696613145837,0.9011034504164486,0.4240924092409241,0.2877939529675252,7.150381659726974,0.7150055991041433,2.0492780208587646
XGBoost,Under_TomekLinks,0.41534484583839865,0.9013953292659816,0.4244426094137077,0.2877939529675252,7.167179737236122,0.7166853303471444,108.694669008255
CatBoost,SMOTE_ENN,0.414227947440113,0.9056650124991976,0.41937925813777444,0.3101903695408735,7.346359230667025,0.734602463605823,171.35012102127075
LightGBM,Passthrough,0.41367008297643726,0.9094478729787148,0.4081294068851099,0.27547592385218367,7.279166920630436,0.7278835386338186,2.6093103885650635
CatBoost,Over_SMOTE,0.4135562790467337,0.8792221512954702,0.43256379100850545,0.2989921612541993,6.321676502609048,0.6321388577827548,45.659555196762085
LightGBM,SMOTE_ENN,0.4121018666072142,0.9123465370064837,0.4125,0.2956326987681971,7.407952181533897,0.7407614781634938,129.59994339942932
LightGBM,Under_TomekLinks,0.41125101453188145,0.9089990013832778,0.41285537700865266,0.280515117581187,7.35195858983674,0.7351623740201568,110.37420582771301
CatBoost,SMOTE_Tomek,0.4109294713622799,0.8790236616977878,0.43099273607748184,0.2989921612541993,6.304878425099901,0.6304591265397537,169.79727816581726
XGBoost,SMOTE_ENN,0.4089516821159051,0.9038980285338607,0.41464298658934395,0.3202687569988802,7.3015643573092985,0.7301231802911534,129.42049932479858
LightGBM,SMOTE_Tomek,0.40753751058861143,0.8973575926785351,0.4035234899328859,0.26931690929451285,7.15598101889669,0.7155655095184771,126.81448197364807
XGBoost,Over_SMOTE,0.4063643405955612,0.8782079670142425,0.4235578862444534,0.29395296752519595,6.4168656084942155,0.6416573348264277,2.394442081451416
XGBoost,SMOTE_Tomek,0.4043105652621213,0.8781774759822578,0.4251207729468599,0.2956326987681971,6.46166048185194,0.6461366181410975,129.87639474868774
CatBoost,Over_ROS,0.4040580306076906,0.8781283917972142,0.40181097906055463,0.3975363941769317,6.663237411961707,0.6662933930571109,41.47182583808899
XGBoost,Over_ROS,0.40368152914705524,0.8854699160754633,0.39138526987503325,0.41209406494960804,6.853615623732042,0.6853303471444568,2.053802967071533
LightGBM,Over_SMOTE,0.4035980163498004,0.8961930223637099,0.3968253968253968,0.26595744680851063,7.043993835502375,0.7043673012318029,2.6126708984375
LightGBM_Internal,Passthrough,0.3890543838128681,0.9014726405206648,0.11202985201204257,0.7396416573348265,7.099987427199533,0.70996640537514,2.246695041656494
XGBoost_Internal,Passthrough,0.371336954320167,0.8567397347470866,0.12843182875756165,0.6181410974244121,6.377670094306205,0.6377379619260918,1.927574872970581
CatBoost_Internal,Passthrough,0.3700549310597801,0.85463166537083,0.1356101209024056,0.6091825307950728,6.360872016797057,0.6360582306830908,40.897216796875
CatBoost,Over_BORDER_SMOTE,0.3700042767534533,0.8922702873343719,0.42808607021517553,0.31746920492721165,6.730429721998295,0.6730123180291153,53.27171802520752
GradientBoosting,Under_TomekLinks,0.3656335592998519,0.901717895593734,0.2955294117647059,0.17581187010078386,7.105586786369249,0.7105263157894737,120.90628266334534
GradientBoosting,Passthrough,0.3630903034313469,0.9015813074928083,0.28774254614292477,0.1702127659574468,7.094388068029818,0.7094064949608063,11.540727376937866
RandomForest,Passthrough,0.362857831855077,0.8231279659275408,0.3457743457743458,0.22564389697648377,6.635240616113128,0.6634938409854423,8.611037254333496
RandomForest,Under_TomekLinks,0.362266022964194,0.8283104961686993,0.352891156462585,0.23236282194848823,6.635240616113128,0.6634938409854423,116.48072957992554
GradientBoosting,Over_ROS,0.3570277335119535,0.9080286391043454,0.34925606891151134,0.37458006718924974,7.228772688102994,0.7228443449048152,12.730738401412964
XGBoost,Over_BORDER_SMOTE,0.351319688396888,0.891742265618677,0.4033552151714077,0.30963045912653975,6.54005151022796,0.6539753639417694,4.140414237976074
LightGBM,Over_BORDER_SMOTE,0.3431388184112093,0.8999528422762293,0.38112263139077585,0.29843225083986563,6.9208079337686295,0.6920492721164614,4.225267648696899
RandomForest,SMOTE_Tomek,0.34081305046230204,0.8224701254549454,0.36284584980237156,0.25699888017917133,6.164894445857008,0.616461366181411,136.38346648216248
RandomForest,Over_SMOTE,0.3407488198051224,0.817651441014287,0.37083993660855785,0.2620380739081747,6.304878425099901,0.6304591265397537,10.024988412857056
Balanced_Bagging,Passthrough,0.3362385389445909,0.8475903817888131,0.2821132596685083,0.4574468085106383,6.848016264562326,0.6847704367301232,6.397800445556641
Balanced_Bagging,Under_TomekLinks,0.3353589526543475,0.8457946248909384,0.2754653130287648,0.45576707726763716,6.747227799507442,0.6746920492721165,109.95327544212341
GradientBoosting,Over_SMOTE,0.3327100947353228,0.898640161161657,0.3142488161859664,0.2043673012318029,7.133583582217827,0.7133258678611423,14.65234899520874
GradientBoosting,SMOTE_Tomek,0.3308034202417691,0.8989046550840163,0.3080260303687636,0.19876819708846585,7.111186145538965,0.7110862262038073,136.15537333488464
GradientBoosting,SMOTE_ENN,0.3303792867325489,0.896875057927486,0.336734693877551,0.25867861142217247,7.228772688102994,0.7228443449048152,140.0003457069397
