Model,Sampler,PR_AUC,ROC_AUC,F1_Score,Recall,Lift_Top10,Gain_Top10,Time_Sec
RusBoost,Under_NearMiss,0.4619646706544257,0.5724223503747286,0.023129204280087832,0.9288913773796192,1.2654551723557528,0.1265397536394177,5.026762247085571
RandomForest,Under_NearMiss,0.430154500915674,0.648885923452464,0.02167466089019547,0.9412094064949608,1.6518109550661375,0.16517357222844345,2.5775046348571777
BalancedRandomForest,Under_NearMiss,0.4157765240484475,0.6735736953493499,0.021936547602179484,0.9535274356103024,1.8309904484970403,0.18309070548712206,2.8851354122161865
LightGBM,Over_ROS,0.4153286882931899,0.9052922026315732,0.39093639093639093,0.4008958566629339,7.239971406442425,0.7239641657334827,2.034165382385254
CatBoost,Passthrough,0.4149388329755607,0.8993359978785351,0.4153327716933446,0.27603583426651734,7.071990631350954,0.7071668533034714,46.35633587837219
RandomForest,Passthrough,0.4116928469018464,0.8505280371737594,0.42217484008528783,0.27715565509518475,7.010397680484082,0.7010078387458006,21.880506992340088
RandomForest,Under_TomekLinks,0.4114100817915124,0.8553790064259561,0.4233206590621039,0.280515117581187,7.088788708860101,0.7088465845464725,28.35959768295288
LightGBM,Over_SMOTE,0.4113116704064495,0.9041466344644269,0.3737816764132554,0.429451287793953,7.312763075648729,0.7312430011198209,2.3197104930877686
CatBoost,Under_TomekLinks,0.41113615148980864,0.8998146198070388,0.4150787075393538,0.280515117581187,7.150381659726974,0.7150055991041433,48.51601767539978
LightGBM,SMOTE_Tomek,0.40975947010202185,0.9042029952112334,0.37625705175374047,0.429451287793953,7.295964998139582,0.7295632698768197,8.607459545135498
CatBoost,SMOTE_Tomek,0.40275574628466526,0.8829462437566971,0.38095238095238093,0.40313549832026874,6.99919896214465,0.6998880179171333,53.51837205886841
RandomForest,Over_SMOTE,0.4012385242184562,0.8678485873705837,0.4029112081513828,0.387458006718925,7.066391272181238,0.7066069428891377,25.865232229232788
CatBoost,Over_SMOTE,0.4000211379859028,0.8840353126985436,0.37398373983739835,0.3992161254199328,6.971202166296071,0.6970884658454647,49.79569125175476
LightGBM,Passthrough,0.3981864339081777,0.9051698134068643,0.4090150250417362,0.27435610302351626,7.066391272181238,0.7066069428891377,2.381465196609497
